,ap.1,ap.2,ap.3,ap.4,ap.5,ap.6,ap.7,ap.8,ap.9,ap.10,ap.11,ap.12,ap.13,ap.14,ap.15,ap.16,ap.17
acinar,9,17,4,0,2,1,100,190,3,28,49,18,52,0,5,0,7
activated_stellate,14,0,11,3,27,16,53,50,1,7,3,2,16,10,32,1,3
alpha,73,39,110,13,249,155,455,507,11,91,50,49,214,68,191,8,12
beta,241,120,105,16,174,94,291,421,7,54,103,43,214,135,330,31,28
delta,77,15,34,1,56,27,93,92,3,11,31,7,40,23,64,5,9
ductal,35,15,34,7,113,48,172,168,3,25,28,23,82,41,154,6,4
endothelial,38,19,19,2,8,8,40,65,0,11,10,2,13,3,8,1,4
epsilon,3,5,2,0,1,2,1,1,0,0,1,0,0,1,0,1,0
gamma,18,11,8,4,33,22,46,23,0,2,2,1,14,19,45,5,2
macrophage,2,2,1,0,6,6,6,6,0,3,1,0,4,2,5,2,1
mast,1,3,2,0,1,4,6,4,0,3,0,0,0,0,1,0,0
quiescent_stellate,31,15,22,0,7,6,27,33,0,6,3,0,14,1,3,1,2
schwann,2,0,1,0,3,3,1,0,0,0,0,0,1,0,2,0,0
t_cell,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0
