,kmeans.1,kmeans.2,kmeans.3,kmeans.4,kmeans.5,kmeans.6,kmeans.7,kmeans.8,kmeans.9,kmeans.10,kmeans.11,kmeans.12,kmeans.13,kmeans.14
acinar,0,0,2,467,0,0,0,0,1,0,11,0,3,1
activated_stellate,0,0,0,0,0,0,1,0,241,4,0,0,0,3
alpha,621,598,0,17,1040,0,1,0,0,12,0,0,0,6
beta,2,0,0,13,2,688,414,353,0,21,2,0,0,912
delta,0,0,0,2,0,3,0,0,0,577,0,0,0,6
ductal,2,0,329,6,2,1,0,1,0,6,100,224,280,7
endothelial,2,0,0,0,0,2,0,0,234,6,0,0,0,7
epsilon,0,1,0,0,0,0,0,0,0,17,0,0,0,0
gamma,3,3,0,1,0,2,0,0,0,246,0,0,0,0
macrophage,0,0,0,0,0,0,0,0,0,47,0,0,0,0
mast,0,0,0,0,0,0,0,0,0,25,0,0,0,0
quiescent_stellate,0,1,0,0,4,0,1,0,156,7,0,0,0,2
schwann,0,0,0,0,0,0,0,0,2,9,0,0,1,1
t_cell,0,0,0,0,0,0,0,0,0,7,0,0,0,0
